Site,URL,Site Checkup Done?,Premium Hosting,SEO Monitoring,90 day views,End Client,New Server,IP Address,Username,DB Name,DB URL,Cloudflare?,Site Origin,Analytics Team Code,PHP V.,DNS Access?,VC/WBP?,Events Cal?,Rev. Slider?,Coverage Test?,DMARC Policy
Jfade / Sims Junk,jfade.com,N/A,N/A,N/A,,Code Chameleon,Server 3,152.53.168.28,jfade,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,HTML Site,N/A,8.3,Yes,,,,,
MCD Oral Health,mainesohp.org,YES,,,,Code Chameleon,Server 1,152.53.91.84,mcdoralhealth,,,,CC created,team_ObHhofK77Pdbk5CD,8.3,Yes,,,,,
Pena Site,penamechanical.com,YES,YES,YES,,Code Chameleon,Server 1,152.53.91.84,pena,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
Pokabache Connector,pokabacheconnectortrail.com,,,,,Code Chameleon,Server 1,152.53.91.84,pokebache,,,,"Unknown, Free(?) WP theme + Plugins",mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
QAS Site,qasinc.net,,,,,Code Chameleon,Server 1,152.53.91.84,qas,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
ReactionCRM BG Marketing,reactioncrm.bg,,,,,Code Chameleon,Server 3,152.53.168.28,reactionbg,,,,"HTML Site, Webflow",TIGj63gq0ToMsSoi,,,,,,,
RPWF,rpwf.net,YES,,,,Code Chameleon,Server 1,152.53.91.84,rpwf,,,,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
Sofian Plumber,sofianplumber.com,,,,,Code Chameleon,Server 1,152.53.91.84,sofianplumber,,,,Ivo Created,N/A,8.3,Yes (Ivo),,,,,
Strange Future,strangefuture.net,,N/A,N/A,,Code Chameleon,Server 1,152.53.91.84,strangefuture,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,Free WP theme + Plugins,N/A,8.3,Yes,,,,,
Timbercrest,timbercrest.org,,,,,Code Chameleon,Server 2,152.53.167.212,timbercrest,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,Bridge WP Theme,mbiJwNAKA4j1rFMh,8.3,Yes,Yes,,Yes,,
Timbercrest Users Group,tug.timbercrest.org,N/A,N/A,N/A,,Code Chameleon,Server 1,152.53.91.84,tug,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,HTML Site,N/A,8.3,Yes,,,,,
Work at Timbercrest,workattimbercrest.org,,,,,Code Chameleon,Server 2,152.53.167.212,worktimbercrest,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,Tommy Cutter,mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
Zeegar Consulting,zeegarconsulting.com,,,,,Code Chameleon,Server 1,152.53.91.84,zeegar,,,,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
Donor Wrangler Dev,dev.thecodechameleon.com,N/A,N/A,N/A,,Custom Systems,Server 4,152.53.165.114,dwtest,,,,,N/A,,,,,,,
Hope's Harbor Res. Tool,hopesharbor.codechameleon.com,N/A,N/A,N/A,,Custom Systems,Server 3,152.53.168.28,guestwrangler,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.2,Yes,,,,,
Pena Time Tool,time.penamechanical.com,N/A,N/A,N/A,,Custom Systems,Server 3,152.53.168.28,penatime,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.2,Yes,,,,,
QAS Main,main.qasinc.net,N/A,N/A,N/A,,Custom Systems,Server 3,152.53.168.28,qasmain,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.2,Yes,,,,,
Reaction Dev,dev.customerwrangler.com,N/A,N/A,N/A,,Custom Systems,Server 4,152.53.165.114,customerwrangler,,,,CC created,N/A,,,,,,,
Reservation Wrangler,mcmillen.reservationwrangler.com,N/A,N/A,N/A,,Custom Systems,Server 3,152.53.168.28,reservationwrangler,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.2,Yes,,,,,
Strahm Stopwatch,stopwatch.codechameleon.com,N/A,N/A,N/A,,Custom Systems,Server 3,152.53.168.28,stopwatch,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.2,Yes,,,,,
Visor CRM,collier.codechameleon.com,N/A,N/A,N/A,,Custom Systems,Server 3,152.53.168.28,collier,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,N/A,8.3,Yes,,,,,
Allen County Fence,allencountyfence.com,YES,,,,Gearhead,Server 2,152.53.167.212,acfence,,,,Hello Elementor Theme + Plugin,Dml2UroH4KGfvAuh,8.3,Yes,,,,,
Casual FS,casualfs.com,,,,,Gearhead,Server 2,152.53.167.212,casualfs,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,Free WP theme + Plugins,Dml2UroH4KGfvAuh,8.3,Yes,,,,,
Depth Chart,portal.hyreable.co,N/A,N/A,N/A,,Gearhead,Server 2,152.53.167.212,hyreable,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,Dml2UroH4KGfvAuh,8.3,Yes,,,,,
Design Cast,designcastproducts.com,,,,,Gearhead,Server 2,152.53.167.212,designcast,Check wp-config.php,https://ccadmin.codechameleon.com/db/,UNKNOWN,CC created,Dml2UroH4KGfvAuh,8.3,Yes,,,,,
FBD,firebydesign.com,,,,,Gearhead,Server 2,152.53.167.212,fbd,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,Dml2UroH4KGfvAuh,8.3,Yes,,,,,
Franke Plating Works,frankeplatingworks.com,,,,,Gearhead,Server 5 (Temp),164.90.253.190,fpw,Check wp-config.php,https://ccadmin.codechameleon.com/db/,UNKNOWN,CC created,Dml2UroH4KGfvAuh,8.3,NO JACK,,,,,
GFP,gfp.codechameleon.com,,,,,Gearhead,Server 2,152.53.167.212,gfp,,,,CC created,N/A,8.3,Yes,,,,,
H and W Machine,machinerypartsdepot.com,,,,,Gearhead,Server 2,152.53.167.212,handw,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,Dml2UroH4KGfvAuh,8.3,Yes,,,,,
Ignite BBD,ignitebbd.com,,,,,Gearhead,Server 2,152.53.167.212,ignitebbd,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,"Unknown, Free(?) WP theme + Plugins",Dml2UroH4KGfvAuh,8.3,Yes,,,,,
JCR Automation,jcrautomation.com,,,,,Gearhead,Server 5 (Temp),164.90.253.190,jcrauto,Check wp-config.php,https://ccadmin.codechameleon.com/db/,UNKNOWN,CC created,Dml2UroH4KGfvAuh,8.3,NO JACK,,,,,
Ness Bros.,nessbros.com,,,,,Gearhead,Server 5 (Temp),164.90.253.190,nessbros,Check wp-config.php,https://ccadmin.codechameleon.com/db/,UNKNOWN,CC created,Dml2UroH4KGfvAuh,8.3,NO JACK,,,,,
Rio Bravo Ranch,riobravoranch.com,,,,,Gearhead,Server 2,152.53.167.212,riobravo,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,Dml2UroH4KGfvAuh,8.3,Yes,,,,,
Simply Umbrella Parts,simplyumbrellaparts.com,,,,,Gearhead,Server 2,152.53.167.212,simplyumbrella,,,,Free WP theme + Plugins,Dml2UroH4KGfvAuh,8.3,Yes,,,,,
SIPE CPA,sipecpa.com,,,,,Gearhead,Server 2,152.53.167.212,sipecpa,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,Dml2UroH4KGfvAuh,8.3,Yes,,,,,
SWCPL,swcplib.com,,,,,Gearhead,Server 2,152.53.167.212,swcplib,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,Dml2UroH4KGfvAuh,8.3,Yes,,Yes,,,
SWCPL Obits,obits.swcplib.com,N/A,N/A,N/A,,Gearhead,Server 3,152.53.168.28,swcplobits,Check settings.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,Dml2UroH4KGfvAuh,8.3,Yes,,,,,
Worthy Treasure Firearms,restoredbywtf.com,,,,,Gearhead,Server 5 (Temp),164.90.253.190,wtf,Check wp-config.php,https://ccadmin.codechameleon.com/db/,UNKNOWN,CC created,Dml2UroH4KGfvAuh,8.3,NO JACK,,,,,
BCV,bartoncoevilamaa.com,YES,YES,YES,,OLG,Server 1,152.53.91.84,bcv,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,o7XF31oBiAm3ihzO,8.3,Yes,,,,,
Benchmark HS,benchmarkhs.com,YES,YES,YES,,OLG,Server 1,152.53.91.84,benchmark,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,"OLG, Tommy Cutter?",o7XF31oBiAm3ihzO,8.3,Yes,Yes,,,,
Briner Building,brinerbuilding.com,YES,,,,OLG,Server 1,152.53.91.84,briner,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,o7XF31oBiAm3ihzO,8.3,Yes,,,,,
Carson LLP,carsonllp.com,YES,,,,OLG,Server 1,152.53.91.84,carson,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,"OLG, Tommy Cutter?",o7XF31oBiAm3ihzO,8.3,Yes,,,,,
Electric Ideas,electricideas.com,YES,,,,OLG,Server 1,152.53.91.84,electricideas,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,"OLG, Tommy Cutter",o7XF31oBiAm3ihzO,8.3,Yes,,,,N/A,
FW Museum of Art,fwmoa.org,,,,,OLG,Server 1,152.53.91.84,fwmoa,,,,"OLG, Tommy Cutter",o7XF31oBiAm3ihzO,8.3,Yes,Yes,,,,
Hope's Harbor,hopesharborfw.org,YES,,,,OLG,Server 1,152.53.91.84,hopesharbor,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,o7XF31oBiAm3ihzO,8.3,Yes,,,,,
Humane FW,humanefw.org,YES,YES,YES,,OLG,Server 1,152.53.91.84,humanefw,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,"OLG, Tommy Cutter",o7XF31oBiAm3ihzO,8.3,Yes,Yes,Yes,,,
K21 Health Foundation,k21healthfoundation.org,,,,,OLG,Server 1,152.53.91.84,k21,,,,Salient WP Theme,o7XF31oBiAm3ihzO,8.3,Yes,,,,,
OLG,oneluckyguitar.com,YES,YES,YES,,OLG,Server 1,152.53.91.84,olg,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,o7XF31oBiAm3ihzO,8.3,Yes,,,,,
Stillwater Hospice,stillwater-hospice.org,YES,,YES,,OLG,Server 1,152.53.91.84,stillwater,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,o7XF31oBiAm3ihzO,8.3,Yes,,Yes,,,
Tandem,thinktandem.com,YES,YES,YES,,OLG,Server 1,152.53.91.84,tandem,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,o7XF31oBiAm3ihzO,8.3,Yes,,,,,
